lost_item 1, Pic 1, place_times 1, position 115,44,220,149
lost_item 1, Pic 1, place_times 2, position 155,375,281,501
lost_item 1, Pic 1, place_times 3, position 377,256,559,438
lost_item 1, Pic 2, place_times 1, position 361,249,458,346
lost_item 1, Pic 2, place_times 2, position 79,398,176,495
lost_item 1, Pic 2, place_times 3, position 36,313,102,379
lost_item 1, Pic 2, place_times 4, position 286,245,469,428
lost_item 1, Pic 2, place_times 5, position 649,259,714,324
lost_item 1, Pic 3, place_times 1, position 409,168,554,313
lost_item 1, Pic 4, place_times 1, position 245,183,327,265
lost_item 1, Pic 4, place_times 2, position 433,210,559,336
lost_item 1, Pic 4, place_times 3, position 397,329,535,467
lost_item 1, Pic 5, place_times 1, position 515,208,638,331
lost_item 1, Pic 5, place_times 2, position 331,293,493,455
lost_item 1, Pic 5, place_times 3, position 89,160,260,331
lost_item 1, Pic 5, place_times 4, position 443,37,497,91
lost_item 1, Pic 5, place_times 5, position 2,64,142,204
lost_item 1, Pic 6, place_times 1, position 414,22,608,216
lost_item 1, Pic 6, place_times 2, position 137,393,197,453
lost_item 1, Pic 7, place_times 1, position 18,378,147,507
lost_item 1, Pic 7, place_times 2, position 309,11,459,161
lost_item 1, Pic 7, place_times 3, position 372,328,555,511
lost_item 1, Pic 7, place_times 4, position 313,439,382,508
lost_item 1, Pic 8, place_times 1, position 534,179,667,312
lost_item 1, Pic 8, place_times 2, position 345,92,504,251
lost_item 1, Pic 8, place_times 3, position 285,152,427,294
lost_item 1, Pic 8, place_times 4, position 0,372,53,425
lost_item 1, Pic 8, place_times 5, position 498,130,693,325
lost_item 1, Pic 9, place_times 1, position 48,381,118,451
lost_item 1, Pic 9, place_times 2, position 680,399,791,510
lost_item 1, Pic 10, place_times 1, position 7,361,195,549
lost_item 1, Pic 10, place_times 2, position 0,407,65,472
lost_item 1, Pic 10, place_times 3, position 468,460,553,545
lost_item 1, Pic 10, place_times 4, position 281,222,428,369
lost_item 2, Pic 1, place_times 1, position 147,340,323,516
lost_item 2, Pic 1, place_times 2, position 343,273,420,350
lost_item 2, Pic 1, place_times 3, position 603,267,770,434
lost_item 2, Pic 1, place_times 4, position 586,128,774,316
lost_item 2, Pic 1, place_times 5, position 347,79,474,206
lost_item 2, Pic 2, place_times 1, position 187,390,277,480
lost_item 2, Pic 3, place_times 1, position 646,302,715,371
lost_item 2, Pic 3, place_times 2, position 660,236,808,384
lost_item 2, Pic 4, place_times 1, position 582,277,637,332
lost_item 2, Pic 5, place_times 1, position 229,334,324,429
lost_item 2, Pic 5, place_times 2, position 451,70,626,245
lost_item 2, Pic 5, place_times 3, position 503,135,696,328
lost_item 2, Pic 5, place_times 4, position 339,266,530,457
lost_item 2, Pic 6, place_times 1, position 451,90,591,230
lost_item 2, Pic 6, place_times 2, position 129,234,312,417
lost_item 2, Pic 6, place_times 3, position 373,44,460,131
lost_item 2, Pic 7, place_times 1, position 122,152,185,215
lost_item 2, Pic 7, place_times 2, position 574,468,629,523
lost_item 2, Pic 7, place_times 3, position 605,115,687,197
lost_item 2, Pic 7, place_times 4, position 338,85,483,230
lost_item 2, Pic 8, place_times 1, position 64,37,220,193
